Title,Author,Category,Qty,Price,Notes
Michaelmas and the Soul-Forces of Man,Rudolf Steiner,Anthroposophy,1,archive / no lending,
The Education of the Child in the Light of Anthroposophy,Rudolf Steiner,Anthroposophy,1,archive / no lending,
The Effects of Spiritual Development,Rudolf Steiner,Anthroposophy,1,archive / no lending,
An Outline of Occult Science,Rudolf Steiner,Anthroposophy,1,borrow me,"Translation of Die Geheimwissenschaft im Umriss (Vol. 13 in the Bibliographic Survey, 1961), this edition copyright 1972 by Anthroposophic Press, Inc"
Balance in Teaching: Meditatively Acquired Knowledge of the Human Being,Rudolf Steiner,Anthroposophy,1,borrow me,"Stuttgart, September 15-22, 1920"
Being Human,Karl Konig,Anthroposophy,1,archive / no lending,Copyright 1989
Childhood: A Study of the Growing Soul,Caroline Von Heydebrand,Anthroposophy,1,archive / no lending,
Anthroposophical Medicine,Victor Bott M.D.,Anthroposophy,1,borrow me,Copyright 1978 Rudolf Steiner Press
Place and Placelessness,E. Relph,Architecture,1,$55,Copyright 1976 Pion Limited
A Pattern Language,Christopher Alexander,Architecture,1,$45,Copyright 1977
A Guide to Architecture in Southern California,David Gebhard and Robert Winter,Architecture,1,$35,Copright LACMA 1965
Professional Practice: A guide to turning designs into buildings,Paul Segal,Architecture,1,$15,
Eloquent Concrete: How Rudolf Steinter Employed Reinforced Concrete,"Rex Raab, Arne Klingborg, Ake Fant",Architecture,1,archive / no lending,"Made and printed in Great Britain, Copyright 1972 (illustrations), 1979 (text)"
Sketching For Architecture + Interior Design,Stephanie Travis,Architecture,1,$17,Copyright 2015
Two Chicago Architects and Their Clients,Frank Lloyd Wright and Howard Dvan Doren Shaw,Architecture,1,$86,
Micro: Very Small Architecture,Ruth Slavid,Architecture,1,$16,
Modern Architecture Since 1900 ,William J.R. Curtis,Architecture,1,$35,
Construction Geometry,Brian Walmsley,Architecture,1,$14,
Underground,David Macaulay,Architecture,1,$15,
Building a House,Byron Barton,Architecture,1,$9,
The Roman Engineers,L.A. and J.A. Hamey,Architecture,1,borrow me,
Hollywood Style,Diane Dorrans Saeks,Architecture,1,$35,
Cathedral: The Story of Its Construction,David Macaulay,Architecture,1,$21,Copyright 1973
Radical Reconstruction,Lebbeus Woods,Architecture,1,$39,Copyright 1997 - Princeton Architectural Press
Altars,Michael Heizer,Art,1,$100,Gagosian Gallery
Olafur Eliasson,"Madeleine Grynsztejn, Daniel Birnbaum, Michael Speaks",Art,1,archive / no lending,Phaidon
Between the Lines: A Coloring Book of Drawings by Contemporary Artists (Volume 2),Adam McEwen,Art,1,$10,Copyright 2009
Les Acantguardes Fotografiques a Espanya,Joan Naranjo,Art,1,$35,"Text in Spanish, Fundacio ""la Caixa"", First Edition"
Fears of Your Life + How Fearful Can You Be?,Michael Bernard Loggins,Art,1,$23,
The Elements of Color,Faber Birren,Art,1,$31,
Point Your Face At This: Drawings,Demeteri Martin,Art,1,$16,
Hyenas are...,Matthew Brannon,Art,1,$45,
Conversations with Rudy Burckhardt About Everything,Simon Pettet,Art,1,$21,
The Art and Life of Georgia O'Keeffe,Jan Garden Castro,Art,1,$27,
The Art of the Macintosh,Michael Green,Art,1,$12,
Colors 49,April-May 2002,Art,1,$12,April - May 2002
Tibet: An Inner Journey,Matthieu Ricard,Art,1,$37,
Sang Bleu III,Sang Bleu,Art,1,$40,Tattoo culture
Imagine: How Creativity Works,Jonah Lehrer,Art,1,$19,Out of print
La Boussole,Vol. 3,Art,1,$18,Text in Russian or Ukrainian
La Boussole,Vol. 4,Art,1,$18,Text in Russian or Ukrainian
The War of Art,Steven Pressfield,Art,1,$11,Copyright 2002 Stephen Pressfield
The War of Art,Steven Pressfield,Art,1,$11,
Sextrology: The Astrology of Sex and the Sexes,Starsky + Cox,Astrology,1,$35,
Cosmic Coupling: The Sextrology of Relationships,Starsky + Cox,Astrology,1,$35,
"Independent Contractor, Sole Proprietor, and LLC Taxes",Mike Piper,Business,1,$11,
The Practice of Management,Peter F. Drucker,Business,1,$8,
"Small Time Operator: How to Start Your Own Business, Keep Your Books, Pay Your Taxes, and Stay Out of Trouble",Bernard B Kamoroff CPA,Business,1,$17,Thirteenth Edition - Copyright 2013
Asterix at the Olympic Games,"Text by Goscinny, Drawings by Uderzo, Translated by Robert Steven Caron",Childrens',1,$12,
A Child's Book of Poems,Varius / Vera Bock (Illustrator),Childrens',1,$12,A Peter Pauper Press Book
The Barenstain Bairs Blaze a Trail,Stan and Jan Berenstain,Childrens',1,$5,
Trouble for Thomas and Other Stories,Rev. W. Awdry,Childrens',1,$5,
North American Indians,Marie and Douglas Gorsline,Childrens',1,$7,Random House Pictureback
All Aboard Trains,Mary Harding,Childrens',1,$7,"Platt & Munk, Publishers"
The Three Billy Goats Gruff,Paul Galdone,Childrens',1,$9,
Curious George Rides A Bike,H. A. Rey,Childrens',1,$9,
Curious George,H. A. Ray,Childrens',1,$8,
I Want to be a Farmer,Edith Kunhardt,Childrens' ,1,borrow me,
How Many Trucks Can a Tow Truck Tow?,Charlotte Pomerantz,Childrens' ,1,borrow me,
Asterix the Legionary,"Text by Goscinny, Drawings by Uderzo, Translated by Robert Steven Caron",Comedy,1,$12,"Printed in France, Copyright 1992"
Weirdos From Another Planet: A Calvin and Hobbes Collection,Bill Watterson,Comedy,1,$10,
The Techniques of Rug Weaving,Peter Collingwood,Craft/Folk,1,$35,Weaving
The Visual Display of Quantitative Information,Edward R. Tufte,Design,1,$48,
Visual Explanations,Edward R. Tufte,Design,1,$48,
Drawing a Tree,Bruno Munari,Design,1,$24,
Art Center College of Design,Art Conter,Design,1,$10,
Design and Form (Revised edition),Johannes Itten,Design,1,borrow me,1975 revised edition (seriously)
Fishwrap 4,Art Center Graphic Design / Various,Design,1,borrow me,Published 2004
Design as Art,Bruno Munari,Design,1,$18,
Interaction of Color (Revised edition),Josef Albers,Design,1,$45,1975 revised edition
Design for People,Scott Stowell,Design,1,$40,
Profile,Pentagram Design,Design,1,$52,"Edited by Susan Yelavich / 2004 by Phaidon, first publishing"
Graphic Design in America: A Visual Language History,Mildred Friedman [et al]; interviews by Steven Heller,Design,1,$20,
Laboratorium,Hans Ulrich and Barbara Vanderlinden / Bruce Mau Design,Design,1,$99,"Copyright 2001 DuMont, Promotie Antwerpen Open"
Designing Typefaces,David Earls,Design,1,$28,Copyright 2002 Rotovision 
1001 Floral Motifs and Ornaments for Artists and Craftspeople,Carol Belanger Grafton,Design,1,$14,
Art Deco Design on Paper,H. Th. Wijdeveld,Design,1,$78,
"Wabi-Sabi for Artists, Designers, Poets & Philosophers",Leonard Koren,Design,0 in stock,$18,"Stone Bridge Press, Berkeley, California - Copyright 1994 Leonard Koren"
The Next 200 Years: A Scenario for America and the World,"Herman Kahn, William Brown, Leon Martel",Economics,1,$9,
Basic Economics,Thomas Sowell,Economics,1,borrow me,Copyright 2004. Revised and expanded edition.
Applied Economics,Thomas Sowell,Economics,1,borrow me,Copyright 2004.
